Вопрос из БЗ,Ответ из БЗ
"Как встроить на сайт приватное видео, доступное только по прямой ссылке?","Чтобы встроить видео, доступное только по прямой ссылке, понадобится ключ доступа. Его можно скопировать из прямой ссылки на видео.

Шаг 1. 
Откройте видео с ограниченным доступом в Студии RUTUBE и скопируйте его ссылку
Пример прямой ссылки на видео с его ID и ключом доступа: https://rutube.ru/video/private/caafe83ff1c6ed38d394635b83ece578/?p=IBgzQQrKH4qB1bqm_91x7Q

Шаг 2.
Откройте видео по скопированной ссылке и нажмите «Поделиться» → «Код для вставки»

Шаг 3. 
Скопируйте из ссылки в браузере ключ доступа — всё после последнего «/» — и добавьте этот кусок в код вставки видео через слэш «/» сразу после ID видео.
Все ключи видео начинаются с «/?p=». 

Если добавить на страницу код вставки без ключа доступа, видео не будет воспроизводиться.
Если у вас возникли сложности, напишите нам на help@rutube.ru"
Как мне лучше оформить свой канал?,"Для этого нужно выполнить шесть простых действий, которые не менее важны для успеха вашего канала, чем ваши будущие видео. Настройки вашего канала доступны по ссылке: https://studio.rutube.ru/channel-settings

Придумайте название канала.

Напишите его кириллическими или латинскими буквами. Название канала — это то, как вас будут знать ваши зрители. Советуем придумать какой-нибудь запоминающийся псевдоним или подписаться вашим настоящим именем. Название будет отображаться на странице канала, под каждым вашим роликом, на карточке ролика в каталогах, а также рядом с любых из ваших комментариев.

Выберете аватар канала.

Если название канала — это ваше имя, то аватар — ваше лицо. По аватару вас будут узнавать — он будет отображаться рядом с названием. Вы можете подобрать любое изображение, которое вам нравится, но помните, что оно не должно восприниматься как оскорбительное. Если ваш канал представляет какую-либо организацию или бренд, советуем использовать ваш фирменный логотип.

Загрузите обложку канала.

Используйте для этого картинку в формате .jpeg размером не менее 2204 × 826 пикселей и весом не более 10 МБ. Обложка украсит главную страницу вашего канала сверху. Замечательно, если обложка и тематика канала будут соответствовать друг другу. Если вы не загрузите собственную обложку, по умолчанию отобразится картинка, нарисованная нашими дизайнерами.

Добавьте описание канала.

Поделитесь, о чём ваш контент, чтобы зрители могли сразу понять, насколько он подходит их интересам. Это может быть рассказ о вас, ваших интересах, тематике канала, бренде или ссылки на социальные сети и другие ресурсы. Добавьте ключевые слова для лучшей видимости в поисковой выдаче. Чем более емкое и грамотное описание вы составите, тем больший интерес ваш канал вызовет у зрителей.

Закрепите важные видео.

В Студии вы можете закрепить видео, которые будут отображаться вверху главной страницы вашего канала, всего их два типа:
Видео для тех, кто ещё не подписался на канал: тут можно разместить, например, трейлер вашего канала для привлечения новых зрителей.
Рекомендованное для подписчиков: а здесь делитесь самым актуальным и интересным со своей аудиторией.
Важно: для возможности закрепления видео уже должны быть загружены на канал.

Настройте автоматическую подпись для своих видео.

Также в настройках канала можно создать постоянную подпись к видео – она будет автоматически отображаться в описании под всеми загружаемыми в дальнейшем роликами.
Регулярность публикаций

Составьте график публикаций, чтобы стабильно загружать контент и радовать своих зрителей новыми видео.

Важно! Элементы оформления вашего канала не должны подпадать под категорию «18+» и нарушать законодательство Российской Федерации. На это могут пожаловаться другие пользователи, и, в случае, если жалоба окажется обоснованной, наши модераторы удалят некорректные материалы."
"Какие рекомендации следует учитывать при создании обложки и заголовка для видео, чтобы повысить его привлекательность и видимость? ","Используйте минимум текста и яркий объект или объекты по теме видео. Яркие и привлекательные обложки помогут попасть в рекомендации и баннеры в разделах                     

Хорошая обложка:

Отражает тему вашего видео — её задача привлечь зрителей к контенту, который им будет интересен 
В хорошем разрешении — используйте изображения в высоком разрешении без смазанностей и некачественных картинок 
Яркая и контрастная — так она будет заметной в общей ленте. Коллаж может быть отличной идеей для обложки, потому что он позволяет показать интересные моменты из видео и использовать другие тематические объекты одновременно
Подходит по размеру — не обрезается и не сжимается в окне предпросмотра при загрузке видео
В вашем стиле — если у вашего контента уже есть фирменный стиль, используйте его и на обложке. Это поможет создать узнаваемый образ канала
Разная для каждого видео — используйте уникальные обложки, которые будут отражать содержание каждого видео
С цепляющим заголовком — он должен привлекать внимание и передавать основную идею видео. Экспериментируйте с форматом и стилем текста и наблюдайте за статистикой
Название и описание видео:

Придумывайте название, опираясь на основную тему видео
Используйте привлекательные фразы и ключевые слова, чтобы улучшить видимость видео в результатах поиска
Выбирайте лаконичное и информативное название 
Хештеги. Ставьте свои и тематические хештеги в конце описания к видео — по ним другие пользователи смогут найти ваш контент
Тайм-коды. Добавляйте к видео тайм-коды с описанием, чтобы зрители могли быстро ориентироваться в содержании ролика. Каждая минута — возможность заинтересовать всех, кто смотрит ваш контент 
Категория видео. При загрузке видео выбирайте ту категорию, которая максимально близко подходит к содержанию вашего видео — так ваш контент автоматически может попасть в ленту «Новинки» этого раздела"
Для чего нужна верификация и что она дает пользователю?,"Верификация открывает возможность быстрой публикации контента сразу после загрузки, минуя штатную модерацию (кроме видео категории ""Детям""), а также возможность постмодерации контента после его фактической публикации. Ваша страница на платформе RUTUBE приобретает уникальный знак подлинности, который подтверждает, что вы являетесь правообладателем или оригинальным создателем контента. Это помогает избежать махинаций с вашим именем и брендом, пресекать мошенничество и неправомерное распространение материалов. Также верифицированные пользователи могут создать короткий URL адрес для своего канала. Служба модерации RUTUBE оказывает полное содействие в удалении материалов, которые распространяются не от имени оригинального представителя."
Какие пользователи могут подать на верификацию канала?,"Верификацию может получить любой пользователь RUTUBE, находящийся в любой стране мира, при выполнении всех необходимых условий и правильном заполнении документов."
Как подать заявку на верификацию канала?,"Для получения статуса официального канала необходимо подать заявку через Студию RUTUBE. Для этого перейдите в раздел “Настройки канала” по ссылке https://studio.rutube.ru/channel-settings и нажмите “Подать заявку” в пункте “Статус официального канала”, затем следуйте инструкции. Если возможность подать заявку через Студию RUTUBE отсутствует, напишите нам на partners@rutube.ru с указанием ссылки на свой канал и прикрепите гарантию правообладателя. Заявка для Госучреждений и правообладателей: https://static.rutube.ru/static/studio/docs/entity.docx. Заявка для публичной личности: https://static.rutube.ru/static/studio/docs/individual.docx. Если пользователь выдает себя за другое лицо или представителя чужого бренда, его заявка будет отклонена."
Кто может получить верификацию?,"Пользователь RUTUBE, подтвердивший, что является правообладателем или оригинальным создателем контента."
Может ли физическое лицо получить статус?,"Физическое лицо может получить данный статус при выполнении следующих условий: установлены аватар и обложка канала; заполнены описание и название канала; опубликованы не менее 2 видео, последнее из которых не старше 3-х месяцев; наличие ссылок на канал на других платформах."
Как поменять URL своего RUTUBE канала?,"Поменять URL канала можно в настройках профиля Студии RUTUBE, прокрутив страницу вниз до пункта «URL Канала». URL можно менять до 3 раз в год. Если нужно больше изменений, напишите на partners@rutube.ru для получения помощи."
Сколько времени занимает рассмотрение заявки на верификацию канала?,Рассмотрение заявки занимает до 10 рабочих дней.
Кто рассматривает заявку на получение статуса?,Заявку рассматривает отдел поддержки блогеров.
Обязательна ли верификация канала для подключения к монетизации?,Для подключения канала к монетизации верификация канала не требуется. Подробнее о монетизации на RUTUBE: https://rutube.ru/info/monetization.
"Что делать, если заявку не одобрили?","Если вы не согласны с решением, направьте запрос на partners@rutube.ru, предоставив убедительные факты, что ваш канал может претендовать на статус официального."
Моя заявка находится длительное время без ответа. Что делать?,"Если вы не получили ответ после указанного времени, напишите на partners@rutube.ru, чтобы уточнить статус заявки."
Что такое Монетизация на RUTUBE?,"Монетизацию можно подключить после того, как вы загрузите в публичный доступ на свой канал минимум 2 ролика и наберёте 5000 просмотров. Мы считаем совокупное количество просмотров, начиная с 1 января 2021 года.

По порядку о том, как это работает: 

В разделе «Монетизация» в Студии RUTUBE у вас появится анкета партнёра:https://studio.rutube.ru/monetization. Заполните её и подайте заявку на монетизацию. 
Мы убедимся, что ваш канал не нарушает правил RUTUBE, и пришлём подтверждение вам на почту. 
RUTUBE начнёт начислять вам вознаграждение в порядке, определенном Офертой (https://rutube.ru/info/adv_oferta/). Всю аналитику и размер дохода по месяцам вы сможете смотреть в личном кабинете Студии RUTUBE. 
Творите, загружайте и выводите свой канал в топ!"
С какого возраста доступна монетизация?,"Монетизация доступна с 18 лет. Канал обязательно должен быть оформлен на лицо, достигшее совершеннолетия, для возможности монетизировать контент."
"Могу ли я подключиться к партнёрской программе, если я не резидент РФ?","Пока такой возможности нет, но мы работаем над этим.  "
"Как подключить монетизацию, если я физлицо?","Увы, физлицам монетизация недоступна, зато доступна самозанятым. Стать самозанятым можно за пару минут через приложение «Мой налог».  "
Какие документы нужны для заявки на монетизацию?,"Сканы паспорта, ИНН, СНИЛС и справка о постановке на учёт в налоговой или справка из приложения «Мой налог», если вы самозанятый/ая. Для ИП и юрлица нужно будет добавить документы о регистрации и выписку из ЕГРИП/ЕГРЮЛ."
Обязательна ли верификация канала для подключения к монетизации?,Для подключения канала к монетизации верификация канала не требуется.
"Что делать, если заявку не одобрили?","Если вы не согласны с решением, направьте запрос на partners@rutube.ru, предоставив убедительные факты, что ваш канал может претендовать на статус официального."
Моя заявка находится длительное время без ответа. Что делать?,"Если вы не получили ответ после указанного времени, напишите на partners@rutube.ru, чтобы уточнить статус заявки."
Что такое Монетизация на RUTUBE?,"Монетизацию можно подключить после того, как вы загрузите в публичный доступ на свой канал минимум 2 ролика и наберёте 5000 просмотров. Мы считаем совокупное количество просмотров, начиная с 1 января 2021 года.

По порядку о том, как это работает: 

В разделе «Монетизация» в Студии RUTUBE у вас появится анкета партнёра:https://studio.rutube.ru/monetization. Заполните её и подайте заявку на монетизацию. 
Мы убедимся, что ваш канал не нарушает правил RUTUBE, и пришлём подтверждение вам на почту. 
RUTUBE начнёт начислять вам вознаграждение в порядке, определенном Офертой (https://rutube.ru/info/adv_oferta/). Всю аналитику и размер дохода по месяцам вы сможете смотреть в личном кабинете Студии RUTUBE. 
Творите, загружайте и выводите свой канал в топ!"
С какого возраста доступна монетизация?,"Монетизация доступна с 18 лет. Канал обязательно должен быть оформлен на лицо, достигшее совершеннолетия, для возможности монетизировать контент."
"Могу ли я подключиться к партнёрской программе, если я не резидент РФ?","Пока такой возможности нет, но мы работаем над этим.  "
"Как подключить монетизацию, если я физлицо?","Увы, физлицам монетизация недоступна, зато доступна самозанятым. Стать самозанятым можно за пару минут через приложение «Мой налог».  "
Какие документы нужны для заявки на монетизацию?,"Сканы паспорта, ИНН, СНИЛС и справка о постановке на учёт в налоговой или справка из приложения «Мой налог», если вы самозанятый/ая. Для ИП и юрлица нужно будет добавить документы о регистрации и выписку из ЕГРИП/ЕГРЮЛ."
Обязательна ли верификация канала для подключения к монетизации?,Для подключения канала к монетизации верификация канала не требуется.
Как долго рассматривается заявка на монетизацию? ,"Срок рассмотрения заявки до 30 дней. По результатам проверки всех необходимых документов ответ поступит на почту, указанную при подаче заявки, а также обновится информация в разделе «Монетизация» Студии RUTUBE: https://studio.rutube.ru/monetization
Расчет Вознаграждения начнётся с 1го числа месяца, в котором вы стали участником партнёрской программы."
Можно ли создать несколько каналов и монетизировать их?,Да. Каждый канал должен быть зарегистрирован на отдельную почту. 1 почта = 1 канал. Создать 2 канала на одну почту пока не получится. Для подключения монетизации 5000 просмотров должно быть набрано на каждом канале. 
Можно ли подключить монетизацию нескольких каналов на одного человека или организацию?,"Да, нужно подать заявку на монетизацию с каждого канала, а в анкету вписать данные одного и того же человека или организации. "
Могу ли я оформить монетизацию моего канала на доверенное лицо?,"Каналом управляет именно тот, на кого зарегистрирован этот канал.

Доверенное лицо может вести канал, если вы сделаете на него нотариальную доверенность или доверенность, заверенную компанией — владельцем канала. Но все расчёты и отчётность мы ведём именно с реальным партнёром RUTUBE, чьи данные указаны в профиле и заявке на монетизацию. "
Я хочу оформить монетизацию на другого человека. Нужно ли переоформлять канал на него?,"Сейчас монетизацию можно оформить только на того, кто ведёт канал."
"Могу ли я монетизировать видеоролики, в которых есть реакции на фильмы, блоги или клипы?","Если вы выкладываете UGC-контент на RUTUBE и не включаете в него чужую интеллектуальную собственность, то такой контент будет считаться авторским. Если же вы планируете включать в свои видео чужие объекты интеллектуальной собственности — кадры из фильма, клипа, чужого блога, вам нужно подтвердить, что у вас есть разрешение на использование от первоначального правообладателя."
Монетизируется ли контент с отметкой 18+?,"Да, конечно. Мы монетизируем любой контент, если он проходит модерацию и не нарушает правил платформы. Также будем признательны, если вы самостоятельно будете выставлять на своих роликах метку 18+."
"Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?","Если видео с вашего канала ранее были загружены на другие каналы, подключенные к партнерской программе, вы не сможете монетизировать подобный контент. Для участия в монетизации видеоряд ролика должен быть уникальным.

При выявлении такой ситуации администрация RUTUBE уведомит вас о необходимости самостоятельно удалить дублирующее видео, и до его удаления монетизация канала/конкретного видео приостанавливается. Если нарушение не устраняется, Компания вправе расторгнуть Договор в одностороннем порядке согласно п. 9.3.2 Оферты/Договора (https://rutube.ru/info/adv_oferta)"
Монетизация подключена. С какого момента будет рассчитываться вознаграждение? ,"Начисление вознаграждения и фиксация данных для его расчета начнётся с 1го числа месяца, в котором вы стали участником партнёрской программы."
"Отправил заявку на монетизацию, но в личном кабинете висит надпись: «Требуется дополнительная информация». Что делать?","Удостоверьтесь, что вы приложили к заявке все необходимые документы – это паспорт, ИНН, СНИЛС, справка о постановке на учёт в налоговой или справка из приложения «Мой налог», а также дополнительно для ИП и юрлица документы о регистрации и выписка из ЕГРИП/ЕГРЮЛ.

Если каких-либо документов не хватает, вы можете направить их на partners@rutube.ru."
Почему заявка может быть отклонена?,"Для подключения монетизации размещенный на канале контент должен соответствовать правилам платформы в части п.4.6, 4.7 и 4.8: https://rutube.ru/info/agreement "
Сколько времени дается на исправление нарушений на канале?,"При наличии нарушений на канале действие партнерского договора приостанавливается. Если нарушения не будут устранены в течение 3-х месяцев, компания вправе расторгнуть договор (п.9.4 Оферты https://rutube.ru/info/adv_oferta/)."
Как долго рассматривается повторная заявка на монетизацию?,Срок рассмотрения повторной заявки также составляет 30 календарных дней.
Где посмотреть подробную аналитику по монетизации моего канала и информацию о начислениях?,Вся доступная информация и статистика отображается в вашем личном кабинете Студии RUTUBE в разделе «Монетизация»: https://studio.rutube.ru/monetization
Как формируется вознаграждение за монетизацию?,"Для расчета вознаграждения партнера используется специальная формула, указанная в п.3.1. Оферты. Актуальные показатели формирующие общее итоговое вознаграждение партнера также отображается в Студии RUTUBE в разделе «Монетизация»: https://studio.rutube.ru/monetization"
Как мне вывести средства с баланса в личном кабинете?,"Баланс за месяц показов отображается в Студии RUTUBE в следующем месяце. Деньги придут на ваш банковский счёт через месяц после отображения баланса.
Минимальная сумма выплаты — 3000 ₽.

Например, за услуги оказанные в октябре, в ноябре в личном кабинете отобразился баланс заработанного за октябрь. До конца декабря заработанные деньги придут вам на счёт. "
Как часто обновляются данные по монетизации?,"Данные в разделе ""Монетизация"" RUTUBE Studio обновляются в личном кабинете ежедневно и отображают данные за предыдущий день."
Можно ли отключить рекламу в видео?,"Рекламу можно отключить на всём канале через раздел ""Настройка канала"" в Студии RUTUBE в блоке «Управление рекламой»: https://studio.rutube.ru/channel-settings. Чтобы снова включить рекламу, напишите на help@rutube.ru. "
Куда я могу отправить уведомление об исключительности прав?,"Вы можете направить уведомление на адрес partners@rutube.ru. Наши специалисты тщательно рассматривают все обращения, чтобы найти индивидуальное решение для каждой ситуации."
Что такое модерация на RUTUBE?,"Модерация — это процесс предварительной проверки видеоконтента, аудиоконтента, прямых эфиров и комментариев на соответствие требованиям пользовательского соглашения. Модерация бывает ручной (проверка модератором-человеком) и автоматической. Материалы, отклоненные на модерации, не допускаются к показам.

RUTUBE, являясь социально проактивной платформой, ответственно относится к соблюдению закона и общепринятых норм морали, старается контролировать процесс публикации пользователями контента на площадке. Мы просматриваем каждый загружаемый видеоролик перед тем, как файл станет доступен другим пользователям.

Размещаемые пользователями материалы и сопутствующая информация проходят проверку на соответствие требованиям Генерального пользовательского соглашения RUTUBE."
Что проверяют при модерации?,"Процесс модерации материалов включает в себя:

Проверку содержания материалов на соответствие требованиям (приложение «Д» к Генеральному пользовательскому соглашению RUTUBE «ПРЯМЫЕ ЗАПРЕТЫ, СВЯЗАННЫЕ С РАЗМЕЩЕНИЕМ НА RUTUBE КОНТЕНТА», а также Правила публикации общественно значимого контента на RUTUBE.
Проверку сопутствующей информации (название и описание, категории, соответствие контента возрастному цензу 18+)."
Кем осуществляется модерация в RUTUBE?,"Модерация бывает ручной (проверка модератором-человеком) и автоматической.

В обязанности модераторов RUTUBE входят следующие пункты:

ограничение публикации на платформе контента авторов, которые нарушают правила сообщества, с помощью временной или постоянной блокировки;
мониторинг контента на предмет соответствия его содержания требованиям платформы и ограничение доступа к нему в случае обнаруженных нарушений;
рассмотрение жалоб пользователей на контент, нарушающий требования платформы;
Пользователи, которые допускают такие нарушения, рискуют попаданием в бан."
Сколько по времени длится модерация?,"Обычно процедура занимает до 20 минут, но модераторы могут увеличить время проверки до 24 часов."
Что значит «Ваше видео отклонено»?,"Если вы получили письмо о том, что ваше видео отклонено модерацией, или рядом с вашим роликом появилось сообщение «Видео отклонено», это означает, что мы обнаружили в нем нарушение наших правил и удалили его с сайта."
"Что делать, если модерация в RUTUBE не пройдена? (Что делать, если мое видео отклонено?)","Без паники, у вас есть план действий:
Проверьте видео на соответствие правилам публикации контента.
Напишите в службу поддержки по адресу help@rutube.ru и узнайте точную причину отклонения.
Исправьте ошибки.
Попробуйте загрузить видео еще раз."
Зачем нужна регистрация на RUTUBE?,Зарегистрированный пользователь получает возможность: Завести собственный канал на RUTUBE: оформить его и начать загружать видеоролики и/или проводить стримы (прямые трансляции); Присоединиться к партнерской программе RUTUBE;  Оформить платную подписку и получить доступ к тысячам единиц лицензионного контента и эфирам сотен телеканалов; Оставлять комментарии.
Что нужно для регистрации на RUTUBE?,"Актуальный личный e-mail (корпоративный e-mail — для юридических лиц) или номер телефона – эти данные будут использоваться в качестве логина при последующей авторизации, а e-mail понадобится для восстановления пароля."
Что такое подтверждение e-mail?,"Это ссылка, которая приходит на ваш e-mail, указанный при регистрации. Чтобы подтвердить ваше намерение зарегистрироваться на RUTUBE, нужно перейти по этой ссылке.   Изменить или привязать e-mail, если изначально регистрация проводилась по телефону, можно в вашем профиле: https://rutube.ru/profile. Обратите внимание, что для полноценного взаимодействия с RUTUBE привязка и подтверждение e-mail является обязательной процедурой."
"Я подтвердил свою регистрацию, но письмо с подтверждением на мой e-mail не пришло",В этом случае напишите нашей команде поддержки на почту help@rutube.ru.
Как сменить пароль?,"Авторизуйтесь на RUTUBE, перейдите в свой профиль: https://rutube.ru/profile, нажмите «Изменить пароль» и следуйте подсказкам."
Как восстановить пароль?,"Нажмите на кнопку «Вход и регистрация» в правом верхнем углу страницы. В появившемся окне введите адрес электронной почты или номер телефона, по которому вы регистрировались, и нажмите «Продолжить». В окне ввода пароля нажмите внизу на сноску «Забыли пароль?», после чего на привязанный к профилю электронный адрес придет код для сброса пароля."
"Забыл свой пароль, а письмо для его восстановления не приходит на почту","Пожалуйста, проверьте папку спам. Если и там пусто, пришлите нам на help@rutube.ru привязанный к вашему профилю адрес электронной почты и номер телефона (если указывался), а также ссылку на ваш канал – мы поможем сбросить пароль."
"Что делать, если у меня уже нет доступа к ранее указанному адресу электронной почты?","Напишите в поддержку на help@rutube.ru, в письме укажите, на какой e-mail регистрировался аккаунт, а также номер телефона (если он привязывался) - мы поможем вам восстановить доступ к аккаунту."
Как изменить привязанный к аккаунту номер телефона?,"Изменить или привязать номер телефона, если изначально регистрация проводилась по e-mail, можно в вашем профиле: https://rutube.ru/profile."
"Пробую авторизоваться, а сервис пишет, что такого пользователя не существует или пароль неверный. Что делать?","Проверьте корректность данных, с которыми вы пробуете авторизоваться. Если вы уверены, что используете корректный номер телефона или e-mail, попробуйте восстановить пароль для вашей учетной записи, а если это не помогло — опишите свою проблему нашей команде поддержки на help@rutube.ru."
Я хочу удалить свой аккаунт. Как это сделать?,"Мы можем помочь вам удалить аккаунт, для этого направьте нам на help@rutube.ru e-mail или номер телефона, на который он зарегистрирован, а также ссылку на канал и скриншот из общих настроек профиля, чтобы мы могли идентифицировать вас как владельца канала. В течение 30 дней вы можете восстановить ваш аккаунт и все содержимое."
"Я удалил свой аккаунт, а теперь хочу восстановить его. Как это сделать?","Если с момента удаления аккаунта прошло менее 30 дней, вы можете авторизоваться на RUTUBE привычным способом, и ваш аккаунт автоматически восстановится. Если авторизоваться не удалось и аккаунт удален не более 180 дней назад, напишите нам на help@rutube.ru – поможем с восстановлением."
"Я не могу войти на сайт, мой аккаунт заблокирован","Вероятно, вы нарушили один из пунктов пользовательского соглашения, которое обязались соблюдать при регистрации. Для уточнения причины блокировки напишите, пожалуйста, команде поддержки на help@rutube.ru."
"Могу ли я зарегистрироваться на RUTUBE, если я не из России?",Регистрация с помощью e-mail доступна для пользователей из любых стран. По номеру телефона пока возможно зарегистрироваться только имея российский номер.
